      altitude      -1:31:08      -1:48:05
    0.00100000      -9999.00       4.99167
      0.201000      -9999.00       3.56104
      0.401000      -9999.00       1.98141
      0.601000      -9999.00       2.69275
      0.801000      -9999.00       3.36509
       1.00100      -9999.00       3.89846
       1.20100      -9999.00       4.33783
       1.40100      -9999.00       4.71986
       1.60100      -9999.00       5.06546
       1.80100      -9999.00       5.37369
       2.00100      -9999.00       5.65419
       2.20100      -9999.00       5.91330
       2.40100      -9999.00       6.15926
       2.60100      -9999.00       6.39367
       2.80100      -9999.00       6.61500
       3.00100      -9999.00       6.82755
       3.20100      -9999.00       6.96821
       3.40100      -9999.00       7.13985
       3.60100      -9999.00       7.31645
       3.80100      -9999.00       7.49498
       4.00100      -9999.00       7.67564
       4.20100      -9999.00       7.85288
       4.40100      -9999.00       8.02606
       4.60100      -9999.00       8.20299
       4.80100      -9999.00       8.37840
       5.00100      -9999.00       8.54541
       5.20100      -9999.00       8.71149
       5.40100      -9999.00       8.88697
       5.60100      -9999.00       9.07392
       5.80100      -9999.00       9.26686
       6.00100      -9999.00       9.46602
       6.20100      -9999.00       9.67679
       6.40100      -9999.00       9.90160
       6.60100      -9999.00       10.1416
       6.80100      -9999.00       10.3953
       7.00100      -9999.00       10.6498
       7.20100      -9999.00       10.9168
       7.40100      -9999.00       11.2847
       7.60100      -9999.00       12.0636
       7.80100      -9999.00       14.6986
