      altitude      -1:31:08      -1:48:05
    0.00100000      -9999.00       36.6815
      0.201000      -9999.00       35.0442
      0.401000      -9999.00       30.6629
      0.601000      -9999.00       33.4617
      0.801000      -9999.00       35.2552
       1.00100      -9999.00       36.2256
       1.20100      -9999.00       36.7853
       1.40100      -9999.00       37.1365
       1.60100      -9999.00       37.3734
       1.80100      -9999.00       37.5399
       2.00100      -9999.00       37.6625
       2.20100      -9999.00       37.7564
       2.40100      -9999.00       37.8310
       2.60100      -9999.00       37.8918
       2.80100      -9999.00       37.9421
       3.00100      -9999.00       37.9829
       3.20100      -9999.00       37.6093
       3.40100      -9999.00       37.2067
       3.60100      -9999.00       36.7768
       3.80100      -9999.00       36.3228
       4.00100      -9999.00       35.8482
       4.20100      -9999.00       35.3558
       4.40100      -9999.00       34.8490
       4.60100      -9999.00       34.3308
       4.80100      -9999.00       33.8039
       5.00100      -9999.00       33.2705
       5.20100      -9999.00       32.7334
       5.40100      -9999.00       32.1949
       5.60100      -9999.00       31.6522
       5.80100      -9999.00       31.0773
       6.00100      -9999.00       30.4545
       6.20100      -9999.00       29.7895
       6.40100      -9999.00       29.0888
       6.60100      -9999.00       28.3578
       6.80100      -9999.00       27.6019
       7.00100      -9999.00       26.8260
       7.20100      -9999.00       26.0347
       7.40100      -9999.00       25.2329
       7.60100      -9999.00       24.4257
       7.80100      -9999.00       23.6162
