      altitude      01:08:26      01:20:08      01:31:36      01:43:08      01:54:44
    0.00100000       30.4533       29.7313       28.8859       29.0251       28.5983
      0.201000       27.5830       26.7822       26.0717       26.1814       25.8107
      0.401000       23.7500       22.7438       22.8999       22.7603       22.1688
      0.601000       31.1653       30.6082       30.7867       30.7507       30.3772
      0.801000       33.3646       32.9138       32.9420       32.9657       32.7632
       1.00100       34.4213       34.0813       34.0722       34.0865       33.9679
       1.20100       35.0973       34.8446       34.8306       34.8342       34.7570
       1.40100       35.5777       35.3826       35.3692       35.3703       35.3150
       1.60100       35.9370       35.7768       35.7631       35.7680       35.7253
       1.80100       36.2097       36.0689       36.0534       36.0653       36.0301
       2.00100       36.4248       36.2942       36.2756       36.2956       36.2654
       2.20100       36.6010       36.4752       36.4530       36.4811       36.4543
       2.40100       36.7513       36.6276       36.6018       36.6371       36.6129
       2.60100       36.8820       36.7594       36.7302       36.7716       36.7494
       2.80100       36.9970       36.8749       36.8429       36.8893       36.8686
       3.00100       37.0991       36.9781       36.9437       36.9939       36.9745
       3.20100       36.7956       36.6780       36.6424       36.6946       36.6764
       3.40100       36.4672       36.3549       36.3192       36.3716       36.3547
       3.60100       36.1097       36.0039       35.9688       36.0203       36.0046
       3.80100       35.7242       35.6255       35.5917       35.6414       35.6268
       4.00100       35.3131       35.2219       35.1899       35.2370       35.2234
       4.20100       34.8787       34.7951       34.7651       34.8095       34.7966
       4.40100       34.4238       34.3477       34.3200       34.3613       34.3493
       4.60100       33.9522       33.8832       33.8578       33.8960       33.8847
       4.80100       33.4665       33.4039       33.3808       33.4160       33.4054
       5.00100       32.9691       32.9124       32.8914       32.9238       32.9139
       5.20100       32.4639       32.4125       32.3934       32.4233       32.4139
       5.40100       31.9543       31.9078       31.8905       31.9179       31.9091
       5.60100       31.4379       31.3960       31.3803       31.4054       31.3972
       5.80100       30.8873       30.8497       30.8356       30.8583       30.8507
       6.00100       30.2869       30.2534       30.2408       30.2614       30.2543
       6.20100       29.6429       29.6132       29.6021       29.6205       29.6140
       6.40100       28.9613       28.9353       28.9255       28.9419       28.9359
       6.60100       28.2479       28.2252       28.2167       28.2311       28.2257
       6.80100       27.5078       27.4881       27.4808       27.4933       27.4885
       7.00100       26.7458       26.7288       26.7225       26.7335       26.7292
       7.20100       25.9671       25.9527       25.9473       25.9567       25.9529
       7.40100       25.1777       25.1657       25.1613       25.1692       25.1660
       7.60100       24.3842       24.3750       24.3717       24.3777       24.3752
       7.80100       23.5924       23.5871       23.5851       23.5887       23.5872
