      altitude      02:06:09      02:17:49      02:29:20      02:40:57      02:52:31
    0.00100000       6.93584       8.79369       10.5134       12.2779       13.4869
      0.201000       5.01225       6.51492       7.77346       9.24193       10.1943
      0.401000       2.96505       4.22811       4.81413       6.06985       6.69152
      0.601000       3.83359       5.65784       6.05946       7.80071       8.57110
      0.801000       4.44843       6.57839       6.97557       9.01770       9.99135
       1.00100       4.90819       7.27042       7.67547       9.92796       11.0651
       1.20100       5.30700       7.87899       8.28654       10.7107       11.9870
       1.40100       5.68484       8.45745       8.86423       11.4417       12.8456
       1.60100       6.05921       9.02772       9.43298       12.1535       13.6790
       1.80100       6.42370       9.58039       9.98433       12.8379       14.4794
       2.00100       6.78382       10.1227       10.5264       13.5056       15.2588
       2.20100       7.14257       10.6589       11.0639       14.1635       16.0247
       2.40100       7.50592       11.1974       11.6055       14.8225       16.7890
       2.60100       7.87330       11.7379       12.1506       15.4825       17.5516
       2.80100       8.24131       12.2762       12.6948       16.1388       18.3077
       3.00100       8.61354       12.8177       13.2435       16.7981       19.0645
       3.20100       8.90673       13.2375       13.6671       17.2952       19.6338
       3.40100       9.24313       13.7105       14.1455       17.8522       20.2626
       3.60100       9.59299       14.1980       14.6388       18.4230       20.9026
       3.80100       9.95079       14.6919       15.1385       18.9972       21.5421
       4.00100       10.3143       15.1889       15.6408       19.5699       22.1755
       4.20100       10.6724       15.6742       16.1302       20.1226       22.7826
       4.40100       11.0200       16.1412       16.5999       20.6480       23.3555
       4.60100       11.3664       16.6011       17.0621       21.1600       23.9102
       4.80100       11.7049       17.0455       17.5088       21.6502       24.4382
       5.00100       12.0273       17.4642       17.9295       22.1074       24.9284
       5.20100       12.3413       17.8674       18.3347       22.5437       25.3936
       5.40100       12.6581       18.2692       18.7389       22.9752       25.8507
       5.60100       12.9788       18.6710       19.1431       23.4031       26.3011
       5.80100       13.2934       19.0577       19.5322       23.8083       26.7228
       6.00100       13.5982       19.4233       19.8998       24.1822       27.1055
       6.20100       13.8973       19.7724       20.2504       24.5297       27.4541
       6.40100       14.1908       20.1050       20.5840       24.8505       27.7680
       6.60100       14.4771       20.4189       20.8985       25.1421       28.0445
       6.80100       14.7520       20.7086       21.1883       25.3985       28.2771
       7.00100       14.9993       20.9569       21.4361       25.6029       28.4499
       7.20100       15.2297       21.1805       21.6591       25.7757       28.5844
       7.40100       15.5298       21.4859       21.9646       26.0287       28.7911
       7.60100       16.2016       22.2049       22.6847       26.6845       29.3744
       7.80100       18.6513       24.6728       25.1410       28.9247       31.3932
