      altitude      07:06:19      07:17:49      07:29:23
    0.00100000       152.601       182.250       131.787
      0.201000       151.606       160.158       113.960
      0.401000       96.9232       75.6590       59.7762
      0.601000       53.2899       43.2432       37.6582
      0.801000       47.9948       40.5483       36.3461
       1.00100       49.0845       42.8106       38.9367
       1.20100       51.7826       46.2816       42.5076
       1.40100       54.9607       50.0918       46.3485
       1.60100       58.3084       54.0144       50.2630
       1.80100       61.7239       57.9725       54.1626
       2.00100       65.2482       62.0122       58.0455
       2.20100       69.0988       66.3390       61.9690
       2.40100       73.9787       71.6176       66.1513
       2.60100       82.0699       79.9317       71.2771
       2.80100       100.768       98.3694       79.5232
       3.00100       162.530       157.743       98.3854
       3.20100       519.003       488.415       159.843
       3.40100       6861.40       5553.37       538.521
       3.60100       642.705       1956.39       8095.84
       3.80100       198.546       392.380       717.820
       4.00100       120.888       171.626       207.163
       4.20100       98.2973       118.098       121.931
       4.40100       89.8226       99.8749       97.7145
       4.60100       85.9559       92.2937       88.8511
       4.80100       83.7278       88.5118       84.9703
       5.00100       82.0855       86.1818       82.8704
       5.20100       80.6197       84.3863       81.3909
       5.40100       79.1665       82.7452       80.0795
       5.60100       77.6594       81.0987       78.7538
       5.80100       76.0113       79.3168       77.2781
       6.00100       74.1791       77.3374       75.5884
       6.20100       72.1840       75.1771       73.6982
       6.40100       70.0562       72.8683       71.6367
       6.60100       67.8274       70.4477       69.4383
       6.80100       65.5285       67.9517       67.1381
       7.00100       63.1897       65.4157       64.7715
       7.20100       60.8044       62.8281       62.3297
       7.40100       58.3053       60.1011       59.7298
       7.60100       55.5437       57.0484       56.7900
       7.80100       52.1533       53.2260       53.0720
