      altitude      07:06:19      07:17:49      07:29:23
    0.00100000       29.4614       30.0235       30.9489
      0.201000       26.9620       27.3780       28.2781
      0.401000       25.6952       25.1306       25.3793
      0.601000       32.4386       32.1379       32.1085
      0.801000       34.3027       34.1816       34.2135
       1.00100       35.1459       35.1220       35.1927
       1.20100       35.6764       35.7005       35.7825
       1.40100       36.0594       36.1046       36.1849
       1.60100       36.3541       36.4063       36.4791
       1.80100       36.5844       36.6363       36.6997
       2.00100       36.7703       36.8183       36.8720
       2.20100       36.9247       36.9671       37.0113
       2.40100       37.0572       37.0931       37.1283
       2.60100       37.1723       37.2015       37.2284
       2.80100       37.2729       37.2956       37.3148
       3.00100       37.3611       37.3776       37.3898
       3.20100       37.0402       37.0507       37.0566
       3.40100       36.6922       36.6976       36.6978
       3.60100       36.3149       36.3160       36.3114
       3.80100       35.9102       35.9076       35.8992
       4.00100       35.4808       35.4753       35.4639
       4.20100       35.0293       35.0217       35.0081
       4.40100       34.5590       34.5498       34.5347
       4.60100       34.0735       34.0633       34.0471
       4.80100       33.5753       33.5644       33.5476
       5.00100       33.0671       33.0557       33.0385
       5.20100       32.5523       32.5406       32.5232
       5.40100       32.0339       32.0221       32.0047
       5.60100       31.5094       31.4978       31.4805
       5.80100       30.9513       30.9399       30.9231
       6.00100       30.3439       30.3329       30.3167
       6.20100       29.6933       29.6829       29.6674
       6.40100       29.0056       28.9959       28.9813
       6.60100       28.2865       28.2775       28.2640
       6.80100       27.5413       27.5330       27.5206
       7.00100       26.7747       26.7672       26.7558
       7.20100       25.9919       25.9851       25.9749
       7.40100       25.1983       25.1924       25.1835
       7.60100       24.3999       24.3953       24.3881
       7.80100       23.6015       23.5988       23.5945
